Week,WeekStart,Phase,Track,Project,Topic/Pillar,Task,Deliverable/Proof,Status,Notes
01,2026-01-04,Setup,Tracker,System Setup,Repo + Tracking,"Confirm repo structure: /docs + /projects; GitHub issues + labels; Obsidian vault linked","GitHub: repo tree + Issues list; docs/progress/now.md",Planned,
01,2026-01-04,Learn,TypeScript,General,TypeScript Mastery,"TS basics refresh: types, interfaces, unions, narrowing, functions","docs/interview/typescript.md (create later)",Planned,
01,2026-01-04,Learn,Angular,P01 MiniMart Catalog,Angular CLI,"Create Angular CLI app in projects/01-fundamentals; run locally","projects/01-fundamentals/... + screenshot",Planned,
01,2026-01-04,Learn,Angular,P01 MiniMart Catalog,Component Architecture,"Understand component + template structure, standalone components basics","Notes in docs/weekly-notes/week-01.md",Planned,
01,2026-01-04,Build,Angular,P01 MiniMart Catalog,Data Binding,"Implement basic binding practice tasks (property/event/two-way) (YOU implement)","GitHub Issue #P01 checklist updates + commit/PR link",Planned,
01,2026-01-04,Prep,Interview,Interview Pack,Angular Fundamentals,"Write 10 short Q/A: components, binding, directives overview","docs/interview/angular-fundamentals.md",Planned,
01,2026-01-04,Prep,Interview,Mock,Communication,"Explain your P01 goal + architecture in 3 minutes (practice)","Obsidian note: docs/interview/mock-notes.md",Planned,
01,2026-01-04,Review,Weekly,Week 01,Weekly Review,"Update weekly note + close what’s done + plan next week","docs/weekly-notes/week-01.md updated",Planned,

02,2026-01-11,Plan,Tracker,Week 02,Sprint Planning,"Break P01 into small GitHub checklist tasks (directives/pipes/lifecycle)","GitHub Issue P01 updated",Planned,
02,2026-01-11,Learn,Angular,P01 MiniMart Catalog,Directives,"Learn *ngIf/*ngFor/ngClass/ngStyle + trackBy concept","docs/weekly-notes/week-02.md",Planned,
02,2026-01-11,Build,Angular,P01 MiniMart Catalog,Directives,"Implement directive-based UI tasks (YOU implement)","PR link + screenshots in project README",Planned,
02,2026-01-11,Learn,Angular,P01 MiniMart Catalog,Pipes,"Built-in pipes + create custom pipe concept","docs/weekly-notes/week-02.md",Planned,
